Designator,Mid X,Mid Y,Layer,Rotation
Q5,26.000,-9.000,top,0.0
Q4,13.000,-9.000,top,0.0
Q3,0.000,-9.000,top,0.0
Q2,-13.000,-9.000,top,0.0
Q1,-26.000,-9.000,top,0.0
F6,27.500,9.000,top,0.0
F5,16.500,9.000,top,0.0
F4,5.500,9.000,top,0.0
F3,-5.500,9.000,top,0.0
F2,-16.500,9.000,top,0.0
F1,-27.500,9.000,top,0.0
