Designator,Mid X,Mid Y,Layer,Rotation
J11,93.8700,-166.0000,Top,90.0000
J10,157.8700,-146.0000,Top,90.0000
J9,93.8700,-146.0000,Top,90.0000
J8,164.2200,-126.0000,Top,90.0000
J7,100.2200,-126.0000,Top,90.0000
J6,165.4900,-106.0000,Top,90.0000
J5,101.4900,-106.0000,Top,90.0000
J4,174.3800,-86.0000,Top,90.0000
J3,110.3800,-86.0000,Top,90.0000
J2,179.4600,-66.0000,Top,90.0000
J1,115.4600,-66.0000,Top,90.0000
